regiao,estado,latitude,longitude,dataColeta,valorVenda
SE,SP,-23.88216509999997,-46.4251809,21/04/2020,3.999
CO,GO,-15.7193047,-48.2829105,13/05/2020,3.799
SE,SP,-20.40770339999997,-49.97082030000001,06/04/2022,6.99
SE,MG,-21.2519634,-44.99533700000001,08/09/2021,6.449
CO,MT,-15.60696119999997,-56.1069691,03/08/2021,5.799
SE,SP,-23.52501819999998,-46.1916585,11/11/2020,4.299
S,RS,-29.89100409999998,-50.2706346,27/06/2022,6.89
S,SC,-26.3344029,-48.8478857,09/06/2020,3.559
SE,SP,-23.51683919999997,-46.8676034,11/05/2020,3.299
SE,MG,-18.6721193,-48.1774986,10/08/2020,4.249
CO,MS,-22.22425879999997,-54.8303187,27/06/2021,6.199
SE,MG,-18.84796769999997,-41.9402783,01/03/2021,4.989
SE,MG,-19.87413859999997,-43.9275549,13/07/2021,5.897
N,RO,-12.7308022,-60.1125661,11/01/2022,6.69
SE,MG,-19.47140139999997,-44.25895740000001,13/10/2021,6.599
SE,SP,-22.94136469999997,-45.4617635,09/02/2022,6.19
NE,PI,-5.133443899999974,-42.7466375,29/12/2021,6.799
NE,BA,-9.446789899999999,-40.4908846,15/04/2020,4.449
S,PR,-24.78818249999997,-49.9866384,15/06/2020,3.67
S,SC,-27.59746179999997,-48.5747689,23/12/2021,6.699
SE,RJ,-22.2847874,-42.531499,18/03/2020,4.899
SE,SP,-24.1662072,-46.7596382,06/12/2021,6.999
SE,SP,-22.31168179999997,-49.0684707,22/06/2022,6.59
SE,MG,-20.6758335,-43.7668005,01/08/2021,6.099
S,SC,-28.93540299999997,-49.4762754,17/02/2020,4.299
CO,MT,-15.6112535,-56.1287446,29/06/2021,5.799
SE,MG,-18.96721149999997,-49.4591918,01/07/2020,4.299
SE,SP,-22.81037529999998,-47.1594754,14/02/2022,5.95
NE,BA,-12.7506296,-38.3466232,07/12/2021,6.69
SE,SP,-22.8908951,-47.1120038,17/01/2022,6.29
S,RS,-29.19316379999998,-51.1996991,06/09/2021,6.099
S,SC,-27.57385789999998,-48.5270433,07/10/2021,5.898
CO,DF,-15.8104233,-47.8933837,01/12/2020,4.699
N,AC,-9.946495099999975,-67.8656156,06/09/2021,6.39
SE,SP,-21.28670329999998,-50.346288,25/03/2022,6.99
SE,SP,-20.7747506,-49.3805473,02/06/2022,6.65
NE,PE,-8.112114399999975,-35.2613193,14/04/2020,4.22
S,SC,-27.58404469999998,-48.4358144,17/08/2020,4.299
SE,SP,-21.74473059999997,-48.8191594,10/06/2021,5.429
S,PR,-23.40265079999998,-51.9562204,28/12/2021,6.54
NE,RN,-5.878235399999974,-35.2244749,04/01/2022,6.99
SE,SP,-23.5259222,-46.6524305,27/01/2022,6.09
N,PA,-1.0539486,-46.7707361,17/11/2021,6.72
SE,SP,-22.41300569999997,-46.80328009999999,17/03/2022,6.57
N,TO,-10.180461,-48.3289951,18/05/2022,7.45
SE,MG,-20.891138,-45.2595123,30/11/2021,6.999
SE,SP,-23.45660049999998,-45.0596557,11/05/2021,5.599
SE,SP,-23.50137689999998,-47.4250805,17/08/2020,4.099
CO,MT,-16.44749349999998,-54.63702719999999,17/02/2020,4.599
SE,MG,-19.45561499999997,-42.5348056,18/03/2020,4.857
S,PR,-25.37707,-51.4709997,23/06/2021,5.39
SE,SP,-22.41402489999997,-46.9575025,29/09/2021,5.749
S,RS,-29.93596879999996,-51.1759052,25/05/2020,3.799
S,PR,-23.1791668,-50.6472793,01/06/2022,7.36
N,RO,-8.7553933,-63.87362030000001,10/08/2021,5.879
S,RS,-28.63612269999997,-53.6051739,08/12/2021,7.349
SE,SP,-22.6384614,-50.4036899,07/01/2020,4.549
SE,RJ,-22.87646319999998,-43.3421872,19/11/2021,7.399
NE,AL,-9.605536199999975,-35.6821146,12/04/2021,5.699
NE,PE,-9.386653899999974,-40.50394419999999,10/03/2020,4.399
SE,MG,-20.7001777,-44.8095996,10/11/2021,6.98
SE,MG,-18.7083897,-47.4956363,03/11/2021,6.902
NE,BA,-14.75951219999997,-39.2799,06/01/2020,4.798
NE,CE,-6.363535299999975,-39.2945832,01/04/2020,4.69
SE,SP,-21.97463049999998,-46.7891364,30/03/2020,3.899
CO,MT,-11.86141499999997,-55.5128989,30/06/2020,4.249
SE,SP,-21.25813949999997,-48.4917003,03/03/2022,6.79
NE,CE,-3.828153599999975,-38.5267331,14/12/2021,6.999
CO,GO,-16.73257939999997,-49.26472380000001,02/06/2022,7.25
NE,PE,-7.55583,-40.4974498,14/12/2021,7.03
SE,RJ,-22.8161074,-43.324675,17/05/2022,7.89
NE,PE,-8.286208799999999,-35.9730681,18/08/2021,5.774
SE,MG,-19.82720239999997,-43.96145449999999,26/05/2020,3.999
SE,MG,-16.71542729999998,-43.85655430000001,04/01/2022,6.99
N,RO,-8.7553933,-63.87362030000001,19/07/2021,5.859
SE,SP,-21.221251,-50.4295309,05/05/2022,7.19
SE,SP,-23.18067279999998,-45.8693206,01/04/2020,4.099
NE,CE,-3.811637699999974,-38.5244616,26/04/2022,7.49
S,PR,-25.08528629999997,-50.1618469,25/04/2022,7.27
S,RS,-30.13410899999997,-51.321828,04/11/2021,6.959
SE,SP,-23.50120479999998,-46.6021565,07/04/2022,6.64
SE,SP,-22.66146659999998,-50.4041801,28/03/2021,5.499
SE,SP,-23.50889159999997,-46.8527776,04/10/2021,5.749
CO,GO,-18.41666869999997,-49.21648709999999,13/04/2020,4.39
NE,PE,-8.050716,-34.8693141,20/07/2021,5.859
SE,SP,-22.751807,-47.4073834,14/09/2021,5.797
CO,DF,-15.8097962,-48.0747054,07/03/2022,6.39
NE,SE,-10.91038199999998,-37.6682426,15/02/2022,6.59
SE,SP,-24.17659599999997,-46.774798,27/12/2021,6.899
SE,MG,-17.7431448,-46.1746916,24/02/2021,5.499
