regiao,estado,latitude,longitude,dataColeta,valorVenda
SE,SP,-22.84203749999998,-46.81486689999999,15/11/2021,6.299
SE,SP,-23.97240049999997,-46.29506809999999,23/05/2022,7.39
SE,MG,-19.91667459999998,-43.9558499,10/08/2021,5.897
SE,SP,-23.1952384,-47.2859743,13/01/2022,6.44
SE,MG,-19.7382279,-45.2536513,22/09/2021,6.309
SE,SP,-22.96250689999997,-49.8678519,22/04/2020,3.959
S,RS,-29.94634569999997,-51.0908645,05/01/2022,6.79
NE,RN,-5.182470999999974,-37.2971247,30/01/2020,4.72
SE,SP,-22.89253419999998,-49.61585859999999,27/04/2022,7.29
SE,SP,-23.54292139999997,-46.25673829999999,11/03/2020,4.499
SE,SP,-20.5495626,-47.3914647,21/06/2022,6.65
SE,MG,-19.75867579999997,-47.9242444,21/07/2020,4.299
SE,SP,-23.0293611,-46.7483661,30/03/2020,4.299
SE,SP,-23.68843159999998,-45.4391788,18/03/2020,4.499
