regiao,latitude,longitude,dataColeta,valorVenda,diesel,dieselS10,etanol,gasolina,gasolinaAditivada,gnv
S,-29.63239079999997,-50.9943389,20/12/2021,5.149,0,1,0,0,0,0
CO,-15.54868749999997,-47.33779699999999,27/12/2021,5.299,0,0,1,0,0,0
SE,-20.70702039999997,-46.62186069999999,29/09/2021,6.699,0,0,0,1,0,0
SE,-22.39403109999998,-47.5701958,10/02/2021,3.709,1,0,0,0,0,0
CO,-16.06988359999997,-57.6872316,08/09/2021,6.09,0,0,0,1,0,0
SE,-22.21977239999998,-49.9309356,14/09/2021,4.799,0,0,1,0,0,0
CO,-15.54180329999998,-47.3355972,24/11/2021,7.499,0,0,0,1,0,0
S,-30.12164509999997,-51.3487021,21/07/2021,4.39,0,1,0,0,0,0
SE,-23.08629249999997,-47.18031619999999,06/10/2021,6.059,0,0,0,0,1,0
SE,-23.69217719999998,-46.5836216,12/07/2021,3.799,0,0,1,0,0,0
NE,-3.806525699999975,-38.4788811,04/04/2021,5.899,0,0,0,0,1,0
SE,-21.78557779999997,-46.5717556,11/04/2021,5.899,0,0,0,0,1,0
NE,-3.742704099999974,-38.54351409999999,07/12/2021,4.89,0,0,0,0,0,1
CO,-16.72441709999998,-49.2376196,25/08/2021,4.54,1,0,0,0,0,0
NE,-5.861705999999975,-35.1983025,28/07/2021,5.54,0,0,1,0,0,0
N,-8.755561199999974,-63.88589889999999,27/07/2021,5.85,0,0,0,0,1,0
S,-25.3926815,-49.2157429,15/09/2021,4.499,0,1,0,0,0,0
SE,-23.53113339999997,-46.347165,13/04/2021,4.099,0,1,0,0,0,0
NE,-5.112308799999976,-42.75982490000001,02/02/2021,4.899,0,0,0,1,0,0
SE,-22.86928889999997,-43.3306318,15/03/2021,5.399,0,0,1,0,0,0
SE,-23.09766639999997,-48.9153907,10/08/2021,5.299,0,0,0,1,0,0
SE,-23.52478419999997,-47.1331025,14/07/2021,5.739,0,0,0,0,1,0
S,-31.6731981,-52.329411,21/06/2021,5.999,0,0,1,0,0,0
SE,-20.75758389999998,-49.3819823,20/09/2021,4.529,0,1,0,0,0,0
CO,-16.7223313,-49.2717389,17/11/2021,7.37,0,0,0,0,1,0
NE,-14.8576701,-40.8342391,07/06/2021,6.3,0,0,0,0,1,0
SE,-23.59773079999997,-46.8330675,28/07/2021,4.659,0,1,0,0,0,0
S,-23.27803559999997,-51.2541205,17/05/2021,5.64,0,0,0,0,1,0
NE,-12.93276629999997,-38.3917436,19/07/2021,5.99,0,0,0,1,0,0
S,-25.34661089999997,-49.2712245,12/10/2021,4.798,0,0,1,0,0,0
SE,-20.2441314,-42.0218467,22/11/2021,5.439,1,0,0,0,0,0
SE,-22.8769078,-47.1203772,19/04/2021,5.199,0,0,0,1,0,0
NE,-6.714498099999975,-34.8281153,13/04/2021,3.38,0,0,0,0,0,1
N,-3.0551841,-59.9632381,10/05/2021,5.09,0,0,0,0,1,0
NE,-3.725052999999975,-38.5533284,25/07/2021,5.949,0,0,0,0,1,0
S,-29.9423994,-51.1709571,16/12/2021,6.829,0,0,0,0,1,0
SE,-23.5090984,-46.6261921,28/04/2021,5.099,0,0,0,0,1,0
NE,-3.787920399999975,-38.5920068,11/10/2021,5.39,0,1,0,0,0,0
S,-29.83398569999997,-51.16089299999999,19/08/2021,4.599,0,0,0,0,0,1
CO,-20.49248529999997,-54.6077147,06/09/2021,5.888,0,0,0,1,0,0
N,-5.169446799999974,-47.31508700000001,13/04/2021,3.799,0,1,0,0,0,0
SE,-21.1899308,-50.4532508,14/09/2021,5.999,0,0,0,0,1,0
SE,-23.54091049999997,-46.5277876,15/09/2021,5.579,0,0,0,1,0,0
SE,-23.56633899999997,-46.58738200000001,21/07/2021,4.499,0,0,1,0,0,0
NE,-3.789135199999975,-38.5169284,09/03/2021,4.47,0,0,1,0,0,0
CO,-15.6228265,-56.1087548,31/08/2021,6.299,0,0,0,0,1,0
N,-2.2443154,-49.4955597,19/10/2021,5.25,1,0,0,0,0,0
SE,-23.67761209999997,-46.5568578,20/09/2021,6.099,0,0,0,0,1,0
SE,-22.88942109999997,-42.9267451,26/08/2021,5.199,0,0,1,0,0,0
NE,-12.8870486,-38.320089,12/10/2021,5.69,0,0,1,0,0,0
SE,-23.48697839999997,-46.63695999999999,31/03/2021,4.999,0,0,0,1,0,0
CO,-22.2188872,-54.79224199999999,17/05/2021,4.4,0,0,1,0,0,0
SE,-22.8098584,-45.1884214,27/07/2021,5.399,0,0,1,0,0,0
N,-10.175473,-48.3247648,09/02/2021,5.09,0,0,0,1,0,0
SE,-23.99056699999997,-46.2557439,17/03/2021,5.877,0,0,0,1,0,0
SE,-22.47073169999997,-44.4635644,04/05/2021,6.099,0,0,0,1,0,0
N,-3.1066725,-60.0263917,28/06/2021,4.59,0,1,0,0,0,0
SE,-22.7132428,-47.6430564,13/12/2021,6.299,0,0,0,1,0,0
S,-25.37697169999998,-49.1957463,25/05/2021,5.499,0,0,0,0,1,0
SE,-23.25561229999998,-47.2923367,09/08/2021,4.599,0,1,0,0,0,0
S,-27.62815639999997,-48.65358879999999,09/11/2021,5.299,1,0,0,0,0,0
NE,-7.212072899999972,-39.32277609999999,03/09/2021,4.809,0,1,0,0,0,0
S,-25.36108449999998,-49.2596402,25/05/2021,5.27,0,0,0,0,1,0
CO,-15.59494369999998,-56.1043695,29/06/2021,4.899,0,1,0,0,0,0
SE,-21.99744599999998,-47.91427899999999,02/03/2021,4.839,0,0,0,0,1,0
SE,-23.5172488,-46.6699305,21/01/2021,5.299,0,0,0,1,0,0
S,-29.72420719999997,-52.43658869999999,12/07/2021,5.799,0,0,1,0,0,0
SE,-22.4232313,-50.5721275,29/11/2021,6.299,0,0,0,0,1,0
S,-31.67458279999997,-52.3394378,27/12/2021,7.099,0,0,0,1,0,0
CO,-12.5416079,-55.74571419999999,14/07/2021,4.299,0,0,1,0,0,0
SE,-5.156734299999974,-34.8932661,17/03/2021,6.099,0,0,0,1,0,0
NE,-4.9641104,-38.9974533,06/09/2021,5.25,0,0,1,0,0,0
NE,-8.113958099999973,-35.0227252,13/09/2021,4.49,0,1,0,0,0,0
SE,-21.21311479999997,-50.4510123,18/02/2021,3.959,1,0,0,0,0,0
NE,-12.26305179999997,-38.9754705,26/10/2021,5.399,1,0,0,0,0,0
CO,-15.54180329999998,-47.3355972,09/05/2021,4.379,0,0,1,0,0,0
SE,-23.10946639999997,-46.5255188,05/08/2021,5.699,0,0,0,1,0,0
NE,-12.89972399999997,-38.3900852,16/12/2021,6.69,0,0,0,0,1,0
N,-8.7553933,-63.87362030000001,17/08/2021,4.999,0,0,1,0,0,0
NE,-12.96554359999997,-38.472601,20/12/2021,6.55,0,0,0,1,0,0
NE,-9.398957,-38.2180209,19/10/2021,6.69,0,0,0,0,1,0
SE,-22.8616673,-43.2884071,15/03/2021,5.897,0,0,0,1,0,0
NE,-3.736600699999975,-38.5694774,04/04/2021,5.59,0,0,0,0,1,0
CO,-16.71380679999998,-49.2634061,24/11/2021,5.67,0,0,1,0,0,0
SE,-18.89723939999998,-48.2608948,08/08/2021,4.079,0,0,1,0,0,0
N,2.818653800000025,-60.7128684,30/11/2021,6.37,0,0,0,1,0,0
SE,-22.2611543,-42.5301196,01/11/2021,5.699,0,0,1,0,0,0
S,-29.934937,-51.01419199999999,22/12/2021,6.749,0,0,0,1,0,0
SE,-22.88108789999998,-43.07899279999999,28/07/2021,6.199,0,0,0,1,0,0
SE,-20.30986979999997,-40.308254,08/12/2021,5.569,0,0,1,0,0,0
NE,-7.944791199999974,-36.1983245,16/11/2021,5.47,0,1,0,0,0,0
SE,-23.46657669999997,-46.4201713,24/05/2021,4.399,1,0,0,0,0,0
SE,-18.91721039999997,-48.2982384,18/08/2021,4.56,0,1,0,0,0,0
SE,-22.22778429999998,-49.9309356,17/03/2021,2.859,0,0,1,0,0,0
NE,-7.228023599999999,-39.3870584,09/12/2021,5.89,0,1,0,0,0,0
SE,-22.99225249999997,-47.47523349999999,29/11/2021,5.549,0,0,1,0,0,0
SE,-18.88421519999998,-48.2514741,03/11/2021,5.359,1,0,0,0,0,0
CO,-20.47208869999998,-54.63406029999999,17/08/2021,4.599,0,0,1,0,0,0
S,-29.86632779999997,-51.1758771,20/09/2021,6.599,0,0,0,0,1,0
NE,-4.968512399999975,-39.011064,16/08/2021,4.789,0,1,0,0,0,0
SE,-21.75207489999998,-41.3225866,22/10/2021,3.999,0,0,0,0,0,1
S,-29.94821699999997,-51.1038678,10/02/2021,3.479,0,1,0,0,0,0
SE,-20.39302419999997,-49.9338011,07/12/2021,6.29,0,0,0,1,0,0
SE,-21.70837229999998,-45.2631515,08/09/2021,4.599,1,0,0,0,0,0
SE,-21.1280306,-47.78059349999999,10/02/2021,3.759,1,0,0,0,0,0
SE,-22.49890439999998,-44.0916705,06/12/2021,5.559,1,0,0,0,0,0
S,-29.68578869999997,-51.12855400000001,04/03/2021,5.499,0,0,0,0,1,0
S,-25.56903749999998,-54.5821149,03/05/2021,3.95,0,0,1,0,0,0
S,-25.38377459999997,-51.4601639,17/08/2021,5.719,0,0,0,0,1,0
S,-23.3083478,-51.1585398,18/08/2021,6.199,0,0,0,1,0,0
SE,-22.94104259999997,-46.5275711,23/09/2021,5.499,0,0,0,1,0,0
SE,-21.14267929999998,-47.79917560000001,28/04/2021,4.499,1,0,0,0,0,0
SE,-23.50371269999997,-46.5515626,10/05/2021,4.349,1,0,0,0,0,0
SE,-20.54882039999998,-48.55931589999999,01/08/2021,5.549,0,0,0,1,0,0
SE,-20.72264389999997,-46.6142075,14/12/2021,5.597,0,0,1,0,0,0
SE,-22.85176609999997,-47.1085611,20/09/2021,5.897,0,0,0,1,0,0
CO,-18.40432899999998,-49.2089664,01/11/2021,7.19,0,0,0,1,0,0
SE,-23.51970379999997,-46.8907637,07/07/2021,3.899,0,0,1,0,0,0
SE,-23.48637299999998,-46.8826311,27/04/2021,4.399,0,1,0,0,0,0
SE,-23.4863292,-46.3679034,30/03/2021,3.597,0,0,1,0,0,0
NE,-9.554376499999975,-35.7454805,05/07/2021,5.749,0,0,0,0,1,0
CO,-16.43683229999997,-54.6420994,29/03/2021,3.899,0,0,1,0,0,0
SE,-20.77939549999997,-49.3675129,04/05/2021,4.599,1,0,0,0,0,0
NE,-7.126978499999976,-34.92095379999999,30/08/2021,4.709,1,0,0,0,0,0
SE,-22.01601709999997,-47.86832159999999,25/10/2021,6.099,0,0,0,1,0,0
SE,-21.0413142,-49.6911374,19/10/2021,4.899,1,0,0,0,0,0
S,-29.93492619999997,-51.0307873,26/05/2021,4.269,1,0,0,0,0,0
N,-3.1049058,-60.0579285,17/02/2021,3.69,0,0,1,0,0,0
SE,-20.2588528,-40.2922389,02/05/2021,3.399,0,0,0,0,0,1
SE,-17.7353385,-46.1613426,23/11/2021,5.499,1,0,0,0,0,0
SE,-22.01496269999997,-47.8806494,05/05/2021,3.949,0,0,1,0,0,0
SE,-23.53695639999997,-47.42531709999999,19/10/2021,6.099,0,0,0,0,1,0
N,-2.956799699999975,-60.0154555,10/01/2021,3.39,0,0,1,0,0,0
NE,-12.25973729999997,-38.9545812,05/10/2021,4.999,0,0,1,0,0,0
SE,-22.0213718,-47.4194786,01/11/2021,6.577,0,0,0,0,1,0
SE,-21.72856589999997,-41.3261842,08/09/2021,4.999,0,0,1,0,0,0
N,-7.630428499999976,-72.6684499,18/05/2021,6.13,0,1,0,0,0,0
SE,-22.74476669999997,-47.1637656,13/12/2021,6.159,0,0,0,1,0,0
SE,-23.0348513,-45.55881000000001,24/02/2021,4.999,0,0,0,0,1,0
SE,-22.64308219999997,-47.19405279999999,11/04/2021,3.499,0,0,1,0,0,0
SE,-22.73473569999997,-47.3549768,02/11/2021,6.399,0,0,0,1,0,0
SE,-22.72230439999997,-45.10628759999999,27/10/2021,6.199,0,0,0,1,0,0
SE,-21.14410939999997,-47.9862947,14/07/2021,4.799,0,1,0,0,0,0
NE,-2.572669999999975,-44.1750343,08/12/2021,5.28,0,1,0,0,0,0
SE,-23.62944889999998,-46.8202305,11/08/2021,4.549,1,0,0,0,0,0
S,-28.47519509999997,-49.02794400000001,01/03/2021,5.299,0,0,0,0,1,0
SE,-22.97577429999997,-49.8832889,21/09/2021,4.899,0,0,1,0,0,0
S,-30.02313289999997,-52.906468,26/10/2021,5.199,1,0,0,0,0,0
NE,-9.6587689,-35.7010954,08/03/2021,4.097,0,0,1,0,0,0
SE,-19.74478769999997,-47.9355043,28/12/2021,6.899,0,0,0,1,0,0
SE,-23.5812702,-46.4964101,09/11/2021,5.179,0,0,1,0,0,0
CO,-16.6207212,-49.2231743,28/10/2021,5.39,0,0,1,0,0,0
SE,-22.7413271,-43.5220989,23/08/2021,4.499,1,0,0,0,0,0
SE,-24.01313319999997,-46.4452824,23/08/2021,5.899,0,0,0,0,1,0
SE,-23.4811272,-46.5408713,20/12/2021,6.099,0,0,0,1,0,0
SE,-23.94420659999997,-46.28428539999999,14/12/2021,5.298,1,0,0,0,0,0
SE,-23.57813329999997,-46.60144919999999,31/03/2021,3.799,0,0,1,0,0,0
SE,-23.09222429999997,-45.6985268,26/04/2021,3.799,0,0,1,0,0,0
SE,-22.8372342,-43.29444729999999,13/10/2021,3.799,0,0,0,0,0,1
N,-9.963001999999975,-67.8083797,24/08/2021,6.42,0,0,0,0,1,0
SE,-22.562517,-47.4223881,17/06/2021,4.299,0,0,1,0,0,0
SE,-23.5794068,-46.5210757,02/03/2021,3.799,0,0,1,0,0,0
SE,-23.59035159999997,-46.5772425,19/01/2021,3.799,0,1,0,0,0,0
SE,-20.2588528,-40.2922389,30/09/2021,4.969,0,1,0,0,0,0
SE,-22.28884509999997,-48.5479638,10/08/2021,4.188,0,0,1,0,0,0
SE,-23.49747019999997,-46.8235606,17/06/2021,5.399,0,0,0,0,1,0
N,-1.353308999999975,-48.4056966,12/08/2021,4.629,0,1,0,0,0,0
CO,-12.56684309999997,-55.7393606,21/09/2021,6.309,0,0,0,1,0,0
SE,-23.1761799,-46.8870748,27/05/2021,4.589,0,1,0,0,0,0
SE,-22.6821622,-43.40361739999999,20/12/2021,7.159,0,0,0,0,1,0
S,-27.5703324,-48.6062979,19/10/2021,5.759,0,0,1,0,0,0
SE,-22.9570569,-46.5403355,27/10/2021,6.397,0,0,0,0,1,0
SE,-19.47090049999997,-44.2566146,08/02/2021,4.799,0,0,0,1,0,0
S,-24.79374819999997,-50.0096324,27/05/2021,4.319,1,0,0,0,0,0
SE,-23.63354759999998,-46.4862759,20/12/2021,6.599,0,0,0,0,1,0
NE,-3.821050199999975,-38.5432373,29/09/2021,4.979,0,1,0,0,0,0
NE,-14.20294589999998,-41.654681,18/07/2021,5.299,0,0,1,0,0,0
S,-25.37215789999997,-49.1912711,29/03/2021,5.499,0,0,0,0,1,0
NE,-12.98397799999997,-38.4491582,18/04/2021,5.839,0,0,0,0,1,0
SE,-23.96298679999997,-46.2778556,01/11/2021,5.499,0,0,1,0,0,0
CO,-15.8029799,-48.066286,02/06/2021,5.959,0,0,0,1,0,0
SE,-22.820324,-43.4047032,24/05/2021,6.377,0,0,0,1,0,0
SE,-22.7787811,-43.2858577,23/03/2021,6.665,0,0,0,1,0,0
SE,-23.4863292,-46.3679034,29/12/2021,5.379,1,0,0,0,0,0
S,-27.5824082,-48.6055348,31/05/2021,5.599,0,0,0,1,0,0
CO,-15.59494369999998,-56.1043695,15/03/2021,4.149,0,0,1,0,0,0
SE,-23.62368219999998,-45.4129785,24/03/2021,4.289,0,0,1,0,0,0
NE,-7.2283343,-35.9149733,08/11/2021,6.459,0,0,0,1,0,0
SE,-21.68208289999997,-51.07204,22/12/2021,6.339,0,0,0,1,0,0
NE,-5.166429299999974,-42.7645396,04/08/2021,6.299,0,0,0,0,1,0
SE,-23.53941879999998,-46.6550885,05/04/2021,4.999,0,1,0,0,0,0
SE,-18.88421519999998,-48.2514741,27/12/2021,6.999,0,0,0,0,1,0
SE,-21.16683709999998,-47.795147,08/12/2021,6.39,0,0,0,1,0,0
CO,-17.74983819999997,-48.6330857,15/09/2021,4.684,0,1,0,0,0,0
SE,-21.1199697,-42.9316615,25/10/2021,6.739,0,0,0,1,0,0
S,-24.780953,-49.99961279999999,13/10/2021,5.999,0,0,0,1,0,0
SE,-23.97853189999998,-48.87864630000001,18/08/2021,4.099,0,0,1,0,0,0
N,-1.455325499999974,-48.468689,22/11/2021,6.89,0,0,0,0,1,0
NE,-8.038917999999972,-34.9417532,05/10/2021,5.499,0,0,1,0,0,0
SE,-21.7516372,-48.8197128,03/11/2021,6.329,0,0,0,0,1,0
SE,-19.4649986,-42.5668916,01/03/2021,4.415,0,1,0,0,0,0
S,-29.76451219999997,-51.1345865,11/11/2021,6.999,0,0,0,1,0,0
CO,-15.61463789999998,-56.0822551,30/11/2021,5.797,1,0,0,0,0,0
NE,-5.820601799999974,-35.22997360000001,04/01/2021,4.86,0,0,0,0,1,0
SE,-23.6165518,-46.79071039999999,28/12/2021,4.999,0,0,1,0,0,0
S,-24.94072409999998,-53.47572059999999,05/05/2021,3.88,0,0,1,0,0,0
S,-26.87752659999997,-48.7084673,05/10/2021,5.399,0,0,1,0,0,0
NE,-8.0003988,-34.86079429999999,06/10/2021,5.499,0,0,1,0,0,0
CO,-16.7271873,-49.2515557,09/12/2021,4.99,0,0,1,0,0,0
CO,-15.7373644,-48.2846869,05/09/2021,4.799,0,1,0,0,0,0
S,-25.39301939999998,-51.48969779999999,26/05/2021,4.35,0,0,1,0,0,0
NE,-12.14061669999997,-44.9883221,09/12/2021,6.549,0,0,0,1,0,0
SE,-19.8324002,-43.9435112,06/04/2021,3.897,0,0,1,0,0,0
CO,-15.61463789999998,-56.0822551,17/06/2021,4.797,1,0,0,0,0,0
S,-23.39359829999997,-51.943462,22/09/2021,4.39,1,0,0,0,0,0
NE,-10.89496879999997,-37.0618735,11/10/2021,5.699,0,0,1,0,0,0
SE,-22.84718669999997,-43.324631,13/07/2021,4.799,0,0,1,0,0,0
SE,-18.7083897,-47.4956363,05/10/2021,4.947,1,0,0,0,0,0
SE,-22.81047269999997,-47.2651231,02/01/2021,2.859,0,0,1,0,0,0
N,-10.18329309999998,-48.3202241,28/04/2021,4.999,0,0,1,0,0,0
NE,-7.9325042,-34.8617903,01/03/2021,3.899,0,0,1,0,0,0
SE,-23.95728299999998,-46.3260716,22/09/2021,4.569,0,1,0,0,0,0
S,-25.5649926,-49.4034033,06/07/2021,4.25,0,0,1,0,0,0
SE,-23.58439769999998,-48.0448075,20/09/2021,4.499,0,1,0,0,0,0
SE,-23.5794068,-46.5210757,23/11/2021,5.199,0,0,1,0,0,0
CO,-15.8084273,-48.08866339999999,23/12/2021,5.995,0,0,1,0,0,0
SE,-22.34591389999997,-47.39659899999999,05/07/2021,5.399,0,0,0,0,1,0
SE,-23.65112269999997,-46.5313252,11/01/2021,4.699,0,0,0,0,1,0
N,-2.415670899999975,-54.7327977,21/12/2021,6.69,0,0,0,0,1,0
SE,-21.25958309999998,-48.4817251,22/07/2021,4.499,1,0,0,0,0,0
SE,-19.8324002,-43.9435112,23/03/2021,5.697,0,0,0,1,0,0
NE,-5.105766899999974,-42.7785782,09/02/2021,5.197,0,0,0,0,1,0
SE,-23.55302459999998,-46.5281491,09/11/2021,5.399,0,0,1,0,0,0
NE,-12.9688604,-38.499081,15/11/2021,5.67,0,0,1,0,0,0
SE,-18.9643529,-49.4694809,13/05/2021,4.499,0,0,1,0,0,0
SE,-22.90820189999998,-43.06755569999999,07/12/2021,4.199,0,0,0,0,0,1
SE,-23.5994759,-46.8461752,03/05/2021,4.398,0,1,0,0,0,0
SE,-22.89906229999998,-47.0960154,07/06/2021,5.259,0,0,0,1,0,0
SE,-22.85467959999997,-42.0338652,24/06/2021,5.794,0,0,1,0,0,0
SE,-22.7402139,-43.464557,26/10/2021,5.199,1,0,0,0,0,0
N,-8.7644877,-63.8835257,12/05/2021,5.549,0,0,0,1,0,0
SE,-23.0055465,-46.9032049,20/04/2021,3.859,0,0,1,0,0,0
SE,-23.17998959999997,-45.8563516,11/10/2021,5.699,0,0,0,1,0,0
NE,-8.1125433,-35.2880591,19/10/2021,4.98,0,1,0,0,0,0
S,-28.46322579999997,-48.7836135,09/06/2021,4.399,0,1,0,0,0,0
SE,-22.86939939999997,-47.20177289999999,29/03/2021,3.899,0,0,1,0,0,0
N,-1.063728699999974,-46.76602949999999,01/12/2021,5.68,1,0,0,0,0,0
S,-26.87447309999997,-49.0537363,02/08/2021,5.729,0,0,0,0,1,0
S,-23.08079469999997,-52.4557534,19/07/2021,4.59,1,0,0,0,0,0
S,-23.40109849999997,-51.9562204,30/11/2021,5.54,0,0,1,0,0,0
SE,-23.48391019999998,-46.41524460000001,20/01/2021,4.199,0,0,0,1,0,0
SE,-20.11502859999997,-44.88138439999999,16/11/2021,7.099,0,0,0,1,0,0
SE,-19.85593429999997,-43.9332956,22/07/2021,4.725,1,0,0,0,0,0
S,-24.73436319999997,-53.7360229,10/08/2021,4.64,0,1,0,0,0,0
S,-25.44469489999997,-49.1716297,07/04/2021,5.399,0,0,0,1,0,0
S,-23.77260169999998,-53.3222736,18/07/2021,5.79,0,0,0,1,0,0
CO,-15.66435579999997,-56.12392879999999,11/01/2021,3.899,1,0,0,0,0,0
SE,-22.76330769999997,-47.1469666,05/01/2021,4.279,0,0,0,1,0,0
NE,-12.90106079999997,-38.36393,09/03/2021,4.85,0,0,1,0,0,0
SE,-22.6446184,-47.2024216,31/03/2021,4.999,0,0,0,0,1,0
NE,-2.5531041,-44.0719606,04/05/2021,5.09,0,0,0,1,0,0
S,-29.9426559,-51.1636044,24/06/2021,5.909,0,0,0,1,0,0
SE,-22.74475959999997,-47.3567233,08/06/2021,4.299,1,0,0,0,0,0
SE,-23.27321779999998,-45.9508057,04/01/2021,3.499,1,0,0,0,0,0
SE,-21.94910059999997,-50.5014092,30/06/2021,4.269,0,0,1,0,0,0
SE,-22.86384719999997,-47.0487836,27/12/2021,6.299,0,0,0,1,0,0
SE,-22.7916806,-43.3040043,23/03/2021,6.299,0,0,0,0,1,0
SE,-23.52712299999997,-46.49105489999999,17/03/2021,4.099,0,1,0,0,0,0
CO,-16.66853299999998,-49.2170419,10/06/2021,6.09,0,0,0,0,1,0
SE,-23.13234899999997,-46.554326,21/12/2021,5.279,1,0,0,0,0,0
S,-28.4261755,-49.8547266,17/11/2021,5.069,1,0,0,0,0,0
S,-26.82592619999998,-49.08956440000001,21/09/2021,4.949,1,0,0,0,0,0
NE,-5.107066899999976,-42.7993907,07/10/2021,5.692,0,0,1,0,0,0
SE,-22.8696655,-43.7923622,30/06/2021,4.299,1,0,0,0,0,0
NE,-3.6064922,-38.9261732,09/06/2021,5.429,0,0,1,0,0,0
S,-28.50391899999997,-50.9235341,08/09/2021,6.499,0,0,0,0,1,0
SE,-22.3566478,-46.9577423,23/06/2021,3.999,0,0,1,0,0,0
SE,-22.94592639999997,-47.0897453,06/09/2021,5.799,0,0,0,0,1,0
NE,-3.765825799999975,-38.596861,29/11/2021,5.689,0,1,0,0,0,0
SE,-21.99744599999998,-47.91427899999999,27/09/2021,5.929,0,0,0,1,0,0
SE,-23.59749139999997,-46.84133079999999,23/08/2021,5.899,0,0,0,1,0,0
NE,-3.814137999999974,-38.5013545,10/11/2021,6.999,0,0,0,0,1,0
SE,-23.52136779999998,-46.8179637,01/07/2021,5.199,0,0,0,1,0,0
NE,-7.943687299999976,-36.20799570000001,03/08/2021,5.899,0,0,0,1,0,0
SE,-23.04254599999998,-45.5731164,12/05/2021,4.199,1,0,0,0,0,0
SE,-22.7936362,-45.1860533,05/10/2021,5.99,0,0,0,0,1,0
SE,-20.7663882,-49.3573829,15/02/2021,4.699,0,0,0,1,0,0
NE,-3.796750399999974,-38.5282614,08/02/2021,3.99,0,0,1,0,0,0
S,-25.43231279999997,-49.18394049999999,05/05/2021,3.999,0,0,1,0,0,0
N,-3.088371699999974,-60.0464324,13/12/2021,6.59,0,0,0,1,0,0
SE,-23.47909249999998,-46.4285218,17/02/2021,5.099,0,0,0,1,0,0
S,-29.78705069999997,-51.1407428,04/03/2021,3.929,0,1,0,0,0,0
SE,-21.87440889999998,-51.8387756,04/10/2021,5.099,1,0,0,0,0,0
SE,-23.52548239999997,-46.2028085,23/11/2021,6.379,0,0,0,0,1,0
N,2.820159700000025,-60.6897657,07/07/2021,4.66,0,1,0,0,0,0
S,-27.0988261,-48.91335669999999,18/08/2021,5.739,0,0,0,1,0,0
S,-23.27629779999997,-51.2741214,26/10/2021,4.89,1,0,0,0,0,0
NE,-12.97327839999997,-38.4485326,10/05/2021,3.79,0,0,0,0,0,1
SE,-20.54936029999998,-48.56014709999999,01/03/2021,4.729,0,0,0,1,0,0
SE,-23.68233279999998,-46.8588426,19/04/2021,3.799,0,0,1,0,0,0
NE,-8.090364299999974,-35.0223054,30/08/2021,4.36,1,0,0,0,0,0
SE,-21.97554339999997,-46.7934731,18/05/2021,5.249,0,0,0,0,1,0
SE,-20.5404223,-47.4178057,06/07/2021,4.197,0,0,1,0,0,0
S,-23.41219699999997,-51.9431064,16/09/2021,4.89,1,0,0,0,0,0
N,-10.02862329999997,-67.7889933,21/12/2021,6.059,1,0,0,0,0,0
SE,-21.4723603,-51.5281501,30/06/2021,4.279,1,0,0,0,0,0
SE,-22.47675839999997,-43.17210919999999,07/06/2021,4.799,0,1,0,0,0,0
SE,-22.65087349999997,-50.4253063,02/08/2021,5.849,0,0,0,1,0,0
CO,-15.8690043,-48.0259892,19/07/2021,6.059,0,0,0,0,1,0
SE,-19.46444609999997,-42.5351908,12/07/2021,6.346,0,0,0,0,1,0
S,-29.17323429999998,-51.513686,16/11/2021,5.239,1,0,0,0,0,0
SE,-23.10974739999997,-46.5507072,26/10/2021,4.759,0,0,1,0,0,0
SE,-22.9020178,-48.4429913,14/06/2021,4.599,0,1,0,0,0,0
SE,-22.227436,-49.9277983,24/06/2021,5.199,0,0,0,1,0,0
CO,-18.39991,-49.2030851,22/09/2021,4.95,0,1,0,0,0,0
SE,-20.77844979999998,-49.38873359999999,11/05/2021,5.399,0,0,0,1,0,0
CO,-12.53893719999997,-55.7266044,17/11/2021,6.899,0,0,0,1,0,0
SE,-23.2891209,-45.9536903,14/07/2021,5.459,0,0,0,1,0,0
SE,-23.3461476,-47.8615649,25/05/2021,3.999,0,0,1,0,0,0
SE,-23.51093679999997,-46.8749525,29/07/2021,3.899,0,0,1,0,0,0
S,-27.00622109999997,-48.5976401,03/06/2021,4.399,0,1,0,0,0,0
S,-24.95218729999997,-53.4602726,08/02/2021,3.37,0,0,1,0,0,0
SE,-20.78267199999998,-49.39364499999999,11/05/2021,3.949,0,0,1,0,0,0
SE,-19.50394579999998,-42.5685285,22/02/2021,3.845,0,0,1,0,0,0
SE,-23.10974739999997,-46.5507072,13/05/2021,5.559,0,0,0,1,0,0
SE,-23.63044039999997,-46.5100703,16/11/2021,5.279,0,0,1,0,0,0
SE,-23.55566019999997,-46.5730673,27/01/2021,3.599,0,1,0,0,0,0
SE,-19.74478769999997,-47.9355043,24/08/2021,6.299,0,0,0,1,0,0
SE,-21.736956,-43.3883442,27/04/2021,4.329,0,1,0,0,0,0
S,-30.0430915,-51.2039904,14/09/2021,6.388,0,0,0,1,0,0
SE,-22.00328529999997,-47.43176810000001,12/07/2021,5.699,0,0,0,0,1,0
SE,-23.43337209999997,-45.08599530000001,25/05/2021,5.799,0,0,0,0,1,0
SE,-23.21121229999998,-46.8079522,28/09/2021,4.575,0,0,1,0,0,0
NE,-7.867273999999999,-34.9037933,20/06/2021,5.09,0,0,1,0,0,0
SE,-20.90868729999998,-46.9770603,24/08/2021,6.679,0,0,0,0,1,0
SE,-22.85822109999997,-42.2493995,10/08/2021,4.349,0,1,0,0,0,0
