regiao,latitude,longitude,dataColeta,valorVenda,diesel,dieselS10,etanol,gasolina,gasolinaAditivada,gnv
NE,-7.225207199999975,-39.3850867,07/04/2021,4.29,0,1,0,0,0,0
S,-25.4397704,-49.262106,18/08/2021,4.699,0,0,1,0,0,0
N,-10.02862329999997,-67.7889933,28/04/2021,5.07,1,0,0,0,0,0
S,-25.51009259999998,-49.1760889,15/07/2021,4.099,0,0,1,0,0,0
S,-27.56536039999998,-48.622477,14/09/2021,6.096,0,0,0,0,1,0
S,-25.34733099999997,-49.19113400000001,25/01/2021,3.47,0,1,0,0,0,0
S,-29.94634569999997,-51.0908645,20/04/2021,5.699,0,0,0,0,1,0
N,-8.765119399999975,-63.8851604,28/12/2021,6.899,0,0,0,0,1,0
S,-23.39099689999998,-51.4491765,23/06/2021,4.42,0,1,0,0,0,0
NE,-5.2260232,-37.3334414,27/09/2021,6.47,0,0,0,1,0,0
SE,-21.74272929999998,-41.33255980000001,06/05/2021,3.999,0,0,0,0,0,1
N,-3.0816446,-60.0063015,26/04/2021,4.29,0,1,0,0,0,0
CO,-15.7868291,-48.12681360000001,23/12/2021,5.999,0,0,1,0,0,0
SE,-23.54091049999997,-46.5277876,14/07/2021,4.699,0,1,0,0,0,0
SE,-22.96286159999997,-46.98822879999999,08/12/2021,4.999,0,0,1,0,0,0
CO,-15.61256389999997,-56.0660663,31/03/2021,5.555,0,0,0,0,1,0
SE,-19.4673703,-44.2467169,27/09/2021,4.58,0,1,0,0,0,0
SE,-16.71542729999998,-43.85655430000001,26/07/2021,5.937,0,0,0,1,0,0
SE,-22.37230169999998,-46.9374853,27/10/2021,6.297,0,0,0,1,0,0
NE,-14.80050899999998,-39.29152550000001,09/11/2021,6.69,0,0,0,1,0,0
NE,-9.637672099999975,-35.7331724,25/10/2021,5.429,0,0,1,0,0,0
SE,-20.33104879999998,-40.3550804,29/09/2021,6.399,0,0,0,0,1,0
SE,-21.1056079,-42.9514285,29/08/2021,4.729,0,1,0,0,0,0
SE,-22.7916806,-43.3040043,22/04/2021,4.199,1,0,0,0,0,0
SE,-21.5883679,-48.8108234,07/07/2021,3.999,0,0,1,0,0,0
SE,-23.5735915,-46.5636866,29/09/2021,5.899,0,0,0,1,0,0
SE,-21.17868049999997,-47.82299099999999,12/05/2021,3.999,0,0,1,0,0,0
CO,-16.719338,-49.3056932,12/05/2021,5.89,0,0,0,1,0,0
NE,-6.965056099999974,-34.8281153,24/11/2021,5.199,0,0,1,0,0,0
SE,-22.85176609999997,-47.1085611,02/08/2021,5.497,0,0,0,1,0,0
CO,-16.6999023,-49.290322,28/10/2021,5.59,0,1,0,0,0,0
NE,-5.100075299999975,-42.80531879999999,02/08/2021,4.755,0,1,0,0,0,0
NE,-12.97327839999997,-38.4485326,01/03/2021,4.29,0,1,0,0,0,0
N,-9.982038199999975,-67.8064663,28/04/2021,4.999,1,0,0,0,0,0
SE,-21.20958769999998,-50.453969,21/07/2021,5.199,0,0,0,1,0,0
NE,-12.15784839999997,-38.86012019999999,07/12/2021,6.53,0,0,0,0,1,0
S,-23.7553357,-53.3042665,28/03/2021,5.38,0,0,0,0,1,0
CO,-22.21751969999998,-54.8079309,17/02/2021,3.49,0,0,1,0,0,0
SE,-23.5872086,-46.5688577,02/11/2021,6.549,0,0,0,0,1,0
SE,-19.47140139999997,-44.25895740000001,20/07/2021,4.19,0,0,1,0,0,0
S,-28.26446099999997,-52.384771,28/12/2021,6.999,0,0,0,0,1,0
SE,-23.70914769999997,-46.5882081,21/12/2021,6.389,0,0,0,1,0,0
NE,-12.92183789999998,-38.5018355,24/05/2021,4.85,0,0,1,0,0,0
NE,-10.90492379999997,-37.073616,20/06/2021,4.999,0,0,1,0,0,0
NE,-7.228962199999974,-39.3983425,10/02/2021,3.949,0,1,0,0,0,0
SE,-20.08290769999997,-44.5878097,14/12/2021,6.995,0,0,0,1,0,0
SE,-22.4105871,-50.5724512,27/12/2021,4.849,0,0,1,0,0,0
SE,-22.768926,-43.3846611,10/05/2021,4.599,0,0,1,0,0,0
S,-26.85553239999997,-49.0410246,05/07/2021,4.999,0,0,1,0,0,0
NE,-12.90861409999998,-38.3500802,30/11/2021,5.63,0,0,1,0,0,0
SE,-22.44564459999998,-43.31720120000001,20/07/2021,4.598,0,1,0,0,0,0
S,-29.78384389999997,-55.7978925,18/10/2021,6.999,0,0,0,0,1,0
